,2022-12-31,2021-12-31,2020-12-31,2019-12-31
OtherCashReceiptsfromOperatingActivities,26553716000000.0,37924401000000.0,33401096000000.0,20969825000000.0
ClassesofCashReceiptsfromOperatingActivities,660987566000000.0,576203553000000.0,478888996000000.0,349198178000000.0
PaymentsonBehalfofEmployees,-22892424000000.0,-19613916000000.0,-17500971000000.0,-17317907000000.0
OtherCashPaymentsfromOperatingActivities,-370613891000000.0,-284512997000000.0,-267129402000000.0,-172147513000000.0
ClassesofCashPayments,-560261518000000.0,-446311060000000.0,-376828159000000.0,-325230288000000.0
CashFlowsfromusedinOperatingActivitiesDirect,100726048000000.0,129892493000000.0,102060837000000.0,23967890000000.0
OperatingCashFlow,100726048000000.0,129892493000000.0,102060837000000.0,23967890000000.0
PurchaseOfPPE,-6134666000000.0,-3239834000000.0,-3605394000000.0,-3685566000000.0
SaleOfPPE,3943000000.0,,563415000000.0,17710000000.0
NetPPEPurchaseAndSale,-6130723000000.0,-3239834000000.0,-3041979000000.0,-3667856000000.0
PurchaseOfIntangibles,-1091799000000.0,-1353981000000.0,-1619270000000.0,-1149030000000.0
NetIntangiblesPurchaseAndSale,-1091799000000.0,-1353981000000.0,-1619270000000.0,-1149030000000.0
PurchaseOfBusiness,-1059057000000.0,-601828000000.0,,
NetBusinessPurchaseAndSale,-1059057000000.0,-601828000000.0,,
PurchaseOfInvestment,-44524940000000.0,-127281409000000.0,-28652122000000.0,-11435002000000.0
SaleOfInvestment,10165845000000.0,,,
NetInvestmentPurchaseAndSale,-34359095000000.0,-127281409000000.0,-28652122000000.0,-11435002000000.0
InvestingCashFlow,-42640674000000.0,-132477052000000.0,-33313371000000.0,-16251888000000.0
LongTermDebtIssuance,26313872000000.0,26962982000000.0,5721589000000.0,17245112000000.0
LongTermDebtPayments,-16975021000000.0,-24201573000000.0,-996308000000.0,-15406000000.0
NetLongTermDebtIssuance,9338851000000.0,2761409000000.0,4725281000000.0,17229706000000.0
NetIssuancePaymentsOfDebt,9338851000000.0,2761409000000.0,4725281000000.0,17229706000000.0
CommonStockIssuance,,0.0,,
CommonStockPayments,,0.0,-150895000000.0,
NetCommonStockIssuance,,0.0,-150895000000.0,
CommonStockDividendPaid,-16816893000000.0,-10271552000000.0,-16489280000000.0,-11256759000000.0
CashDividendsPaid,-16816893000000.0,-10271552000000.0,-16489280000000.0,-11256759000000.0
NetOtherFinancingCharges,20807362000000.0,4074684000000.0,-4553469000000.0,-12844963000000.0
FinancingCashFlow,13329320000000.0,-3435459000000.0,-16468363000000.0,-6872016000000.0
ChangesInCash,71414694000000.0,-6020018000000.0,52279103000000.0,843986000000.0
EffectOfExchangeRateChanges,9843138000000.0,-269997000000.0,1292731000000.0,-1728922000000.0
BeginningCashPosition,193631712000000.0,199921727000000.0,123792750000000.0,124677686000000.0
EndCashPosition,274889544000000.0,193631712000000.0,177364584000000.0,123792750000000.0
CapitalExpenditure,-7226465000000.0,-4593815000000.0,-5224664000000.0,-4834596000000.0
IssuanceOfCapitalStock,,0.0,,
IssuanceOfDebt,26313872000000.0,26962982000000.0,5721589000000.0,17245112000000.0
RepaymentOfDebt,-16975021000000.0,-24201573000000.0,-996308000000.0,-15406000000.0
RepurchaseOfCapitalStock,,0.0,-150895000000.0,
FreeCashFlow,93499583000000.0,125298678000000.0,96836173000000.0,19133294000000.0
