,2022-12-31,2021-12-31,2020-12-31,2019-12-31
CashFinancial,27212759000000.0,23948485000000.0,24682671000000.0,28094267000000.0
CashAndCashEquivalents,277848602000000.0,196173111000000.0,178065220000000.0,124712254000000.0
Receivables,52383360000000.0,43231594000000.0,45639840000000.0,42007134000000.0
PrepaidAssets,3060428000000.0,3543976000000.0,3506809000000.0,4189150000000.0
LandAndImprovements,41356880000000.0,35703009000000.0,34746195000000.0,34504142000000.0
BuildingsAndImprovements,16974777000000.0,12792782000000.0,10736635000000.0,7269470000000.0
MachineryFurnitureEquipment,15207830000000.0,14070299000000.0,13000393000000.0,12735843000000.0
OtherProperties,1308682000000.0,1138142000000.0,731751000000.0,207840000000.0
ConstructionInProgress,3121729000000.0,3799035000000.0,2791249000000.0,2940234000000.0
GrossPPE,77969898000000.0,67503267000000.0,62006223000000.0,57657529000000.0
AccumulatedDepreciation,-21429332000000.0,-18358475000000.0,-15278070000000.0,-13045330000000.0
NetPPE,56540566000000.0,49144792000000.0,46728153000000.0,44612199000000.0
Goodwill,787466000000.0,,,
OtherIntangibleAssets,4306143000000.0,5111759000000.0,4520619000000.0,3321284000000.0
GoodwillAndOtherIntangibleAssets,5093609000000.0,5111759000000.0,4520619000000.0,3321284000000.0
LongTermEquityInvestment,2688954000000.0,2432393000000.0,2250017000000.0,606010000000.0
TradingSecurities,,,,13806271000000.0
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,46196862000000.0,50027178000000.0,43437707000000.0,35773283000000.0
AvailableForSaleSecurities,321607475000000.0,303539118000000.0,187462711000000.0,130371901000000.0
HeldToMaturitySecurities,,,0.0,26039153000000.0
InvestmentinFinancialAssets,414269658000000.0,388828282000000.0,239791373000000.0,200282485000000.0
InvestmentsAndAdvances,416958612000000.0,391260675000000.0,242041390000000.0,200888495000000.0
TotalAssets,1992544687000000.0,1725611128000000.0,1429334484000000.0,1318246335000000.0
AccountsPayable,8227014000000.0,2681377000000.0,3985276000000.0,2346430000000.0
TotalTaxPayable,3735675000000.0,2862716000000.0,1761477000000.0,1286973000000.0
OtherPayable,121394000000.0,1018751000000.0,1570506000000.0,72145000000.0
Payables,12084083000000.0,5544093000000.0,5746753000000.0,3705548000000.0
LongTermDebtAndCapitalLeaseObligation,107146082000000.0,94433065000000.0,88423652000000.0,84464310000000.0
DerivativeProductLiabilities,2126769000000.0,1018751000000.0,1570506000000.0,1195022000000.0
TotalLiabilitiesNetMinorityInterest,1740299232000000.0,1503499846000000.0,1235538401000000.0,1109211810000000.0
CommonStock,11666667000000.0,11666667000000.0,11666667000000.0,11666667000000.0
CapitalStock,11666667000000.0,11666667000000.0,11666667000000.0,11666667000000.0
AdditionalPaidInCapital,17643264000000.0,17643264000000.0,17316192000000.0,17316192000000.0
RetainedEarnings,161614963000000.0,137207666000000.0,119275783000000.0,137929792000000.0
TreasuryStock,0.0,150895000000.0,150895000000.0,
FixedAssetsRevaluationReserve,34716693000000.0,30140345000000.0,30309583000000.0,30306255000000.0
OtherEquityInterest,-106001000000.0,-106001000000.0,-106001000000.0,-106001000000.0
StockholdersEquity,229678786000000.0,204686612000000.0,189142952000000.0,204600853000000.0
MinorityInterest,22566669000000.0,17424670000000.0,4653131000000.0,4433672000000.0
TotalEquityGrossMinorityInterest,252245455000000.0,222111282000000.0,193796083000000.0,209034525000000.0
TotalCapitalization,335956834000000.0,298073398000000.0,276982255000000.0,289065163000000.0
CommonStockEquity,229678786000000.0,204686612000000.0,189142952000000.0,204600853000000.0
NetTangibleAssets,224585177000000.0,199574853000000.0,184622333000000.0,201279569000000.0
InvestedCapital,335956834000000.0,298073398000000.0,276982255000000.0,289065163000000.0
TangibleBookValue,224585177000000.0,199574853000000.0,184622333000000.0,201279569000000.0
TotalDebt,107146082000000.0,94433065000000.0,88423652000000.0,84464310000000.0
ShareIssued,93333333332.0,93333333332.0,93333333332.0,93333333332.0
OrdinarySharesNumber,93333333332.0,93262533332.0,93262533332.0,93333333332.0
TreasurySharesNumber,,70800000.0,70800000.0,
